#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
3508563	1436	8454	107823	114032	-	-	CSF1R	CUL1	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	-	Affinity Capture-MS	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	High Throughput	0.01	-	Affinity Capture-MS was carried out to identify high confidence protein interactors with a BFDR of less than or equal to 0.05 (BFDR score reported)	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	Q13616	B3KTW0	NP_001357589|NP_003583|NP_001357591|NP_001357590|NP_001357593|NP_001357592	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3508564	1436	2048	107823	108362	-	-	CSF1R	EPHB2	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	CAPB|DRT|EK5|EPHT3|ERK|Hek5|PCBC|Tyro5	Affinity Capture-MS	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	High Throughput	0.0	-	Affinity Capture-MS was carried out to identify high confidence protein interactors with a BFDR of less than or equal to 0.05 (BFDR score reported)	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P29323	-	NP_001296121|NP_004433|NP_001296122|NP_059145	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3508565	1436	253943	107823	128997	-	-	CSF1R	YTHDF3	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	-	Affinity Capture-MS	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	High Throughput	0.05	-	Affinity Capture-MS was carried out to identify high confidence protein interactors with a BFDR of less than or equal to 0.05 (BFDR score reported)	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	Q7Z739	A0A024R7W5|B4DPX9|Q8N3V9|Q658Z6|Q8NA80|A0A087WY31	NP_689971|NP_001264743|NP_001264742|NP_001264745|NP_001264744|NP_001264747|NP_001264746	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3508566	1436	808	107823	107259	-	-	CSF1R	CALM3	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	HEL-S-72|PHKD|PHKD3	Affinity Capture-MS	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	High Throughput	0.0	-	Affinity Capture-MS was carried out to identify high confidence protein interactors with a BFDR of less than or equal to 0.05 (BFDR score reported)	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P62158	B4DJ51|Q9BRL5	NP_001316855|NP_001316854|NP_001316853|NP_001316852|NP_001316851|NP_001316850|NP_005175	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3508567	1436	4738	107823	110815	-	-	CSF1R	NEDD8	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	NEDD-8	Affinity Capture-MS	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	High Throughput	0.05	-	Affinity Capture-MS was carried out to identify high confidence protein interactors with a BFDR of less than or equal to 0.05 (BFDR score reported)	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	Q15843	-	NP_006147	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3508568	1436	84271	107823	123998	-	RP1-222E13.9	CSF1R	POLDIP3	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	PDIP46|SKAR	Affinity Capture-MS	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	High Throughput	0.01	-	Affinity Capture-MS was carried out to identify high confidence protein interactors with a BFDR of less than or equal to 0.05 (BFDR score reported)	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	Q9BY77	F6VRR5|B4E0L0|Q659C6	NP_835237|NP_115687|NP_001349981|NP_001265586	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3510898	1436	3304	107823	109536	-	DAAP-21F2.7	CSF1R	HSPA1B	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	HSP70-1B|HSP70-2	Proximity Label-MS	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	High Throughput	0.0	-	Proximity Label-MS was carried out to identify high confidence protein interactors with a BFDR of less than or equal to 0.05 (BFDR score reported)	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P08107	A8K5I0	NP_005337	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3510899	1436	23291	107823	116887	-	-	CSF1R	FBXW11	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	BTRC2|BTRCP2|FBW1B|FBXW1B|Fbw11|Hos	Proximity Label-MS	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	High Throughput	0.0	-	Proximity Label-MS was carried out to identify high confidence protein interactors with a BFDR of less than or equal to 0.05 (BFDR score reported)	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	Q9UKB1	B4DH70	NP_387448|NP_036432|NP_001365909|NP_001365908|NP_001365907|NP_001365906|NP_001365905|NP_001365904|NP_001365903|NP_387449	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3510900	1436	1969	107823	108288	-	-	CSF1R	EPHA2	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	ARCC2|CTPA|CTPP1|CTRCT6|ECK	Proximity Label-MS	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	High Throughput	0.05	-	Proximity Label-MS was carried out to identify high confidence protein interactors with a BFDR of less than or equal to 0.05 (BFDR score reported)	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P29317	A0A024QZA8	NP_004422|NP_001316019	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3510901	1436	9146	107823	114593	-	-	CSF1R	HGS	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	HRS	Proximity Label-MS	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	High Throughput	0.03	-	Proximity Label-MS was carried out to identify high confidence protein interactors with a BFDR of less than or equal to 0.05 (BFDR score reported)	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	O14964	-	NP_004703	-	-	-	-	-	-	Homo sapiens	Homo sapiens
