#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
2376817	1436	3815	107823	110015	-	-	CSF1R	KIT	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	C-Kit|CD117|PBT|SCFR	Affinity Capture-Western	physical	Tsujimura T (1999)	PUBMED:9949175	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P10721	A0A024RDA0	NP_001372219|NP_001372221|NP_001372213|NP_001372217|NP_001372215|NP_001372214|NP_000213|NP_001087241	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2376818	1436	3815	107823	110015	-	-	CSF1R	KIT	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	C-Kit|CD117|PBT|SCFR	Biochemical Activity	physical	Tsujimura T (1999)	PUBMED:9949175	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P10721	A0A024RDA0	NP_001372219|NP_001372221|NP_001372213|NP_001372217|NP_001372215|NP_001372214|NP_000213|NP_001087241	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2380443	1436	1436	107823	107823	-	-	CSF1R	CSF1R	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	Biochemical Activity	physical	Mancini A (1997)	PUBMED:9380408	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P07333	A2VDG3	NP_005202|NP_001275634	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2380444	1436	5290	107823	111308	-	-	CSF1R	PIK3CA	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	CLOVE|CWS5|MCAP|MCM|MCMTC|PI3K|p110-alpha	Reconstituted Complex	physical	Mancini A (1997)	PUBMED:9380408	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P42336	-	NP_006209	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2380445	1436	5290	107823	111308	-	-	CSF1R	PIK3CA	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	CLOVE|CWS5|MCAP|MCM|MCMTC|PI3K|p110-alpha	Two-hybrid	physical	Mancini A (1997)	PUBMED:9380408	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P42336	-	NP_006209	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2533368	2885	1436	109142	107823	-	-	GRB2	CSF1R	ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084|NCKAP2	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	Affinity Capture-Western	physical	Kharbanda S (1995)	PUBMED:7597091	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P62993	B0LPF3	NP_002077|NP_987102	P07333	A2VDG3	NP_005202|NP_001275634	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2536869	3918	1436	110112	107823	-	-	LAMC2	CSF1R	B2T|BM600|CSF|EBR2|EBR2A|LAMB2T|LAMNB2	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	Protein-peptide	physical	Jin P (2008)	PUBMED:18593464	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13753	-	NP_005553|NP_061486	P07333	A2VDG3	NP_005202|NP_001275634	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2537570	8651	1436	114203	107823	-	-	SOCS1	CSF1R	CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP3	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	Affinity Capture-MS	physical	Wu QY (2018)	PUBMED:29991678	9606	9606	High Throughput	-	-	-	-	BIOGRID	O15524	Q4JHT5	NP_003736	P07333	A2VDG3	NP_005202|NP_001275634	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2538395	1436	23395	107823	116968	-	-	CSF1R	LARS2	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	LEURS|PRLTS4	Positive Genetic	genetic	Han K (2017)	PUBMED:28319085	9606	9606	High Throughput	2.847	-	CRISPR GI screen|Cell Line:K562 (EFO:0002067)|Experimental Setup:Timecourse|GIST: A-phenotypic positive genetic interaction|Library:Drug Target-CDKO CRISPRn library|Significance Threshold: q-value<0.05	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	Q15031	-	NP_056155|NP_001355192	HP:0001507	Growth abnormality	phenotype	-	-	-	Homo sapiens	Homo sapiens
2538464	1436	2058	107823	108372	-	PIG32	CSF1R	EPRS	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	EARS|GLUPRORS|PARS|QARS|QPRS	Positive Genetic	genetic	Han K (2017)	PUBMED:28319085	9606	9606	High Throughput	3.307	-	CRISPR GI screen|Cell Line:K562 (EFO:0002067)|Experimental Setup:Timecourse|GIST: A-phenotypic positive genetic interaction|Library:Drug Target-CDKO CRISPRn library|Significance Threshold: q-value<0.05	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P07814	-	NP_004437	HP:0001507	Growth abnormality	phenotype	-	-	-	Homo sapiens	Homo sapiens
