#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
276455	948	3290	107386	109523	-	-	CD36	HSD11B1	BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3	11-DH|11-beta-HSD1|CORTRD2|HDL|HSD11|HSD11B|HSD11L|SDR26C1	Reconstituted Complex	physical	Calvo D (1998)	PUBMED:9555943	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P16671	B7Z6C3|E9PLT1|A4D1B1	NP_001276838|NP_001001548|NP_000063|NP_001120915|NP_001120916|NP_001276840|NP_001001547|NP_001276837	P28845	X5D2L1	NP_005516|NP_001193670|NP_861420	-	-	-	-	-	-	Homo sapiens	Homo sapiens
276456	948	3949	107386	110141	-	-	CD36	LDLR	BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3	FH|FHC|LDLCQ2	Reconstituted Complex	physical	Calvo D (1998)	PUBMED:9555943	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P16671	B7Z6C3|E9PLT1|A4D1B1	NP_001276838|NP_001001548|NP_000063|NP_001120915|NP_001120916|NP_001276840|NP_001001547|NP_001276837	P01130	A0A024R7D5	NP_001182728|NP_001182729|NP_001182727|NP_000518|NP_001182732	-	-	-	-	-	-	Homo sapiens	Homo sapiens
276457	948	7436	107386	113277	-	RP11-320E16.1	CD36	VLDLR	BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3	CARMQ1|CHRMQ1|VLDLRCH	Reconstituted Complex	physical	Calvo D (1998)	PUBMED:9555943	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P16671	B7Z6C3|E9PLT1|A4D1B1	NP_001276838|NP_001001548|NP_000063|NP_001120915|NP_001120916|NP_001276840|NP_001001547|NP_001276837	P98155	Q5VVF5	NP_003374|NP_001309155|NP_001309154|NP_001018066	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278934	948	2534	107386	108810	-	RP1-66H14.1	CD36	FYN	BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3	SLK|SYN|p59-FYN	Affinity Capture-Western	physical	Huang MM (1991)	PUBMED:1715582	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P16671	B7Z6C3|E9PLT1|A4D1B1	NP_001276838|NP_001001548|NP_000063|NP_001120915|NP_001120916|NP_001276840|NP_001001547|NP_001276837	P06241	-	NP_002028|NP_001357458|NP_694593|NP_694592	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278935	948	4067	107386	110245	-	-	CD36	LYN	BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3	JTK8|p53Lyn|p56Lyn	Affinity Capture-Western	physical	Huang MM (1991)	PUBMED:1715582	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P16671	B7Z6C3|E9PLT1|A4D1B1	NP_001276838|NP_001001548|NP_000063|NP_001120915|NP_001120916|NP_001276840|NP_001001547|NP_001276837	P07948	A8K379|Q6NUK7	NP_002341|NP_001104567	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278936	948	7525	107386	113357	-	-	CD36	YES1	BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3	HsT441|P61-YES|Yes|c-yes	Affinity Capture-Western	physical	Huang MM (1991)	PUBMED:1715582	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P16671	B7Z6C3|E9PLT1|A4D1B1	NP_001276838|NP_001001548|NP_000063|NP_001120915|NP_001120916|NP_001276840|NP_001001547|NP_001276837	P07947	-	NP_005424	-	-	-	-	-	-	Homo sapiens	Homo sapiens
283042	948	4145	107386	110315	-	-	CD36	MATK	BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3	CHK|CTK|HHYLTK|HYL|HYLTK|Lsk	Affinity Capture-Western	physical	Hirao A (1997)	PUBMED:9171348	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P16671	B7Z6C3|E9PLT1|A4D1B1	NP_001276838|NP_001001548|NP_000063|NP_001120915|NP_001120916|NP_001276840|NP_001001547|NP_001276837	P42679	F1T0G6	NP_002369|NP_647612|NP_647611	-	-	-	-	-	-	Homo sapiens	Homo sapiens
315205	948	3674	107386	109881	-	-	CD36	ITGA2B	BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3	BDPLT16|BDPLT2|CD41|CD41B|GP2B|GPIIb|GT|GTA|HPA3|PPP1R93	Affinity Capture-Western	physical	Miao WM (2001)	PUBMED:11238109	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P16671	B7Z6C3|E9PLT1|A4D1B1	NP_001276838|NP_001001548|NP_000063|NP_001120915|NP_001120916|NP_001276840|NP_001001547|NP_001276837	P08514	-	NP_000410	-	-	-	-	-	-	Homo sapiens	Homo sapiens
315206	948	3690	107386	109896	-	-	CD36	ITGB3	BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	Affinity Capture-Western	physical	Miao WM (2001)	PUBMED:11238109	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P16671	B7Z6C3|E9PLT1|A4D1B1	NP_001276838|NP_001001548|NP_000063|NP_001120915|NP_001120916|NP_001276840|NP_001001547|NP_001276837	P05106	-	NP_000203	-	-	-	-	-	-	Homo sapiens	Homo sapiens
315207	948	3655	107386	109864	-	-	CD36	ITGA6	BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3	CD49f|ITGA6B|VLA-6	Affinity Capture-Western	physical	Miao WM (2001)	PUBMED:11238109	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P16671	B7Z6C3|E9PLT1|A4D1B1	NP_001276838|NP_001001548|NP_000063|NP_001120915|NP_001120916|NP_001276840|NP_001001547|NP_001276837	P23229	-	NP_001303235|NP_000201|NP_001073286|NP_001352458	-	-	-	-	-	-	Homo sapiens	Homo sapiens
