#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
677244	2205	6850	108499	112717	RP11-550P17.3	-	FCER1A	SYK	FCE1A|FcERI	p72-Syk	Affinity Capture-Western	physical	Ota Y (1997)	PUBMED:9103201	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P12319	-	NP_001992	P43405	A0A024R244|A0A024R273	NP_001167639|NP_001167638|NP_001128524|NP_003168	-	-	-	-	-	-	Homo sapiens	Homo sapiens
892174	2205	5162	108499	111188	RP11-550P17.3	-	FCER1A	PDHB	FCE1A|FcERI	PDHBD|PDHE1-B|PHE1B	Two-hybrid	physical	Wang J (2011)	PUBMED:21988832	9606	9606	High Throughput	-	-	-	-	BIOGRID	P12319	-	NP_001992	P11177	-	NP_001166939|NP_000916|NP_001302465	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2381803	4000	2205	110186	108499	RP11-54H19.1	RP11-550P17.3	LMNA	FCER1A	CDCD1|CDDC|CMD1A|CMT2B1|EMD2|FPL|FPLD|FPLD2|HGPS|IDC|LDP1|LFP|LGMD1B|LMN1|LMNC|LMNL1|PRO1	FCE1A|FcERI	Two-hybrid	physical	Dittmer TA (2014)	PUBMED:24623722	9606	9606	High Throughput	-	-	-	-	BIOGRID	P02545	Q5TCI8	NP_001244303|NP_005563|NP_733821|NP_733822|NP_001269553|NP_001269555|NP_001269554	P12319	-	NP_001992	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2717396	23184	2205	116794	108499	RP11-351M8.1	RP11-550P17.3	MESDC2	FCER1A	BOCA|MESD	FCE1A|FcERI	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q14696	-	NP_055969	P12319	-	NP_001992	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3033177	2205	26507	108499	117713	RP11-550P17.3	-	FCER1A	CNNM1	FCE1A|FcERI	ACDP1|CLP-1	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.998679671	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.998679671, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	P12319	-	NP_001992	Q9NRU3	-	NP_065081	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3039164	2205	6293	108499	112200	RP11-550P17.3	DADB-91M20.1	FCER1A	VPS52	FCE1A|FcERI	ARE1|SAC2|SACM2L|dJ1033B10.5	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.770947603	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.770947603, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	P12319	-	NP_001992	Q8N1B4	B4DS44|B3KMF7	NP_072047|NP_001276103|NP_001276104|NP_001276105	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3039610	2205	8744	108499	114281	RP11-550P17.3	-	FCER1A	TNFSF9	FCE1A|FcERI	4-1BB-L|CD137L	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.784014194	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.784014194, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	P12319	-	NP_001992	P41273	-	NP_003802	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3043088	2205	54910	108499	120254	RP11-550P17.3	UNQ5855/PRO34487	FCER1A	SEMA4C	FCE1A|FcERI	M-SEMA-F|SEMACL1|SEMAF|SEMAI	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.855836433	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.855836433, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	P12319	-	NP_001992	Q9C0C4	-	NP_060259	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3044708	2205	200895	108499	128354	RP11-550P17.3	-	FCER1A	DHFRL1	FCE1A|FcERI	DHFRP4	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.858087526	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.858087526, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	P12319	-	NP_001992	Q86XF0	-	NP_789785|NP_001182572	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3048462	2205	26046	108499	117509	RP11-550P17.3	HSPC087	FCER1A	LTN1	FCE1A|FcERI	C21orf10|C21orf98|RNF160|ZNF294	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.974802789	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.974802789, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	P12319	-	NP_001992	O94822	-	NP_001307695|NP_056380	-	-	-	-	-	-	Homo sapiens	Homo sapiens
