#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
251079	6402	51705	112302	119689	RP1-117P20.1	-	SELL	EMCN	CD62L|LAM1|LECAM1|LEU8|LNHR|LSEL|LYAM1|PLNHR|TQ1	EMCN2|MUC14	Affinity Capture-Western	physical	Kanda H (2004)	PUBMED:15249540	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P14151	A0A024R8Z0	NP_000646	Q9ULC0	Q4W5J1	NP_001153166|NP_057326	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255849	50512	6402	119082	112302	UNQ1861/PRO3742	RP1-117P20.1	PODXL2	SELL	EG|PODLX2	CD62L|LAM1|LECAM1|LEU8|LNHR|LSEL|LYAM1|PLNHR|TQ1	Reconstituted Complex	physical	Fieger CB (2003)	PUBMED:12889478	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NZ53	-	NP_056535	P14151	A0A024R8Z0	NP_000646	-	-	-	-	-	-	Homo sapiens	Homo sapiens
282841	6402	5420	112302	111416	RP1-117P20.1	-	SELL	PODXL	CD62L|LAM1|LECAM1|LEU8|LNHR|LSEL|LYAM1|PLNHR|TQ1	Gp200|PC|PCLP|PCLP-1	Affinity Capture-Western	physical	Sassetti C (1998)	PUBMED:9625756	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P14151	A0A024R8Z0	NP_000646	O00592	Q96N83	NP_005388|NP_001018121	-	-	-	-	-	-	Homo sapiens	Homo sapiens
286863	6402	3075	112302	109324	RP1-117P20.1	RP1-177P10.1	SELL	CFH	CD62L|LAM1|LECAM1|LEU8|LNHR|LSEL|LYAM1|PLNHR|TQ1	AHUS1|AMBP1|ARMD4|ARMS1|CFHL3|FH|FHL1|HF|HF1|HF2|HUS	Reconstituted Complex	physical	Malhotra R (1999)	PUBMED:10377245	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P14151	A0A024R8Z0	NP_000646	P08603	A0A024R962	NP_000177|NP_001014975	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287585	6402	2885	112302	109142	RP1-117P20.1	-	SELL	GRB2	CD62L|LAM1|LECAM1|LEU8|LNHR|LSEL|LYAM1|PLNHR|TQ1	ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084|NCKAP2	Affinity Capture-Western	physical	Brenner B (1996)	PUBMED:8986819	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P14151	A0A024R8Z0	NP_000646	P62993	B0LPF3	NP_002077|NP_987102	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287613	6402	4589	112302	110676	RP1-117P20.1	-	SELL	MUC7	CD62L|LAM1|LECAM1|LEU8|LNHR|LSEL|LYAM1|PLNHR|TQ1	MG2	Reconstituted Complex	physical	Prakobphol A (1998)	PUBMED:9538010	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P14151	A0A024R8Z0	NP_000646	Q8TAX7	-	NP_689504|NP_001138479|NP_001138478	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303179	6402	1462	112302	107844	RP1-117P20.1	-	SELL	VCAN	CD62L|LAM1|LECAM1|LEU8|LNHR|LSEL|LYAM1|PLNHR|TQ1	CSPG2|ERVR|GHAP|PG-M|WGN|WGN1	Reconstituted Complex	physical	Kawashima H (2000)	PUBMED:10950950	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P14151	A0A024R8Z0	NP_000646	P13611	Q6MZK8|Q86W61|A0A024RAL1|A0A024RAP3|A0A024RAQ9|Q59FG9	NP_004376|NP_001157570|NP_001119808|NP_001157569	-	-	-	-	-	-	Homo sapiens	Homo sapiens
305402	6402	4478	112302	110584	RP1-117P20.1	-	SELL	MSN	CD62L|LAM1|LECAM1|LEU8|LNHR|LSEL|LYAM1|PLNHR|TQ1	HEL70	Reconstituted Complex	physical	Ivetic A (2002)	PUBMED:11706008	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P14151	A0A024R8Z0	NP_000646	P26038	V9HWC0	NP_002435	-	-	-	-	-	-	Homo sapiens	Homo sapiens
305403	6402	7430	112302	113271	RP1-117P20.1	-	SELL	EZR	CD62L|LAM1|LECAM1|LEU8|LNHR|LSEL|LYAM1|PLNHR|TQ1	CVIL|CVL|HEL-S-105|VIL2	Reconstituted Complex	physical	Ivetic A (2002)	PUBMED:11706008	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P14151	A0A024R8Z0	NP_000646	P15311	-	NP_003370|NP_001104547	-	-	-	-	-	-	Homo sapiens	Homo sapiens
314278	6402	6401	112302	112301	RP1-117P20.1	RP1-117P20.2	SELL	SELE	CD62L|LAM1|LECAM1|LEU8|LNHR|LSEL|LYAM1|PLNHR|TQ1	CD62E|ELAM|ELAM1|ESEL|LECAM2	Affinity Capture-Luminescence	physical	Zoellner O (1997)	PUBMED:9024699	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P14151	A0A024R8Z0	NP_000646	P16581	-	NP_000441	-	-	-	-	-	-	Homo sapiens	Homo sapiens
736326	5578	6402	111564	112302	-	RP1-117P20.1	PRKCA	SELL	AAG6|PKC-alpha|PKCA|PRKACA	CD62L|LAM1|LECAM1|LEU8|LNHR|LSEL|LYAM1|PLNHR|TQ1	Biochemical Activity	physical	Kilian K (2004)	PUBMED:15192100	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P14151	A0A024R8Z0	NP_000646	-	-	-	-	-	-	Homo sapiens	Homo sapiens
736327	5592	6402	111578	112302	RP11-346D6.1	RP1-117P20.1	PRKG1	SELL	1|AAT8|PKG|PRKG1B|PRKGR1B|cGK|cGK 1|cGK1|cGKI|cGKI-BETA|cGKI-alpha	CD62L|LAM1|LECAM1|LEU8|LNHR|LSEL|LYAM1|PLNHR|TQ1	Biochemical Activity	physical	Kilian K (2004)	PUBMED:15192100	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q13976	-	NP_006249|NP_001091982	P14151	A0A024R8Z0	NP_000646	-	-	-	-	-	-	Homo sapiens	Homo sapiens
