#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
255219	5657	3684	111638	109890	-	-	PRTN3	ITGAM	ACPA|AGP7|C-ANCA|CANCA|MBN|MBT|NP-4|NP4|P29|PR-3|PR3	CD11B|CR3A|MAC-1|MAC1A|MO1A|SLEB6	Affinity Capture-Western	physical	David A (2003)	PUBMED:12960243	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P24158	-	NP_002768	P11215	-	NP_000623|NP_001139280	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278136	550	3684	107031	109890	-	-	AUP1	ITGAM	-	CD11B|CR3A|MAC-1|MAC1A|MO1A|SLEB6	Two-hybrid	physical	Kato A (2002)	PUBMED:12042322	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y679	-	NP_853553	P11215	-	NP_000623|NP_001139280	-	-	-	-	-	-	Homo sapiens	Homo sapiens
279119	5329	3684	111345	109890	-	-	PLAUR	ITGAM	CD87|U-PAR|UPAR|URKR	CD11B|CR3A|MAC-1|MAC1A|MO1A|SLEB6	Reconstituted Complex	physical	Simon DI (2000)	PUBMED:10744708	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q03405	M0R1I2	NP_001005377|NP_001287966|NP_002650|NP_001005376	P11215	-	NP_000623|NP_001139280	-	-	-	-	-	-	Homo sapiens	Homo sapiens
317184	3684	3654	109890	109863	-	-	ITGAM	IRAK1	CD11B|CR3A|MAC-1|MAC1A|MO1A|SLEB6	IRAK|pelle	Affinity Capture-Western	physical	Shi C (2001)	PUBMED:11701612	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P11215	-	NP_000623|NP_001139280	P51617	D3YTB5	NP_001020413|NP_001560|NP_001020414	-	-	-	-	-	-	Homo sapiens	Homo sapiens
317185	3684	3383	109890	109610	-	-	ITGAM	ICAM1	CD11B|CR3A|MAC-1|MAC1A|MO1A|SLEB6	BB2|CD54|P3.58	Reconstituted Complex	physical	Santoso S (2002)	PUBMED:12208882	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P11215	-	NP_000623|NP_001139280	P05362	-	NP_000192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
317186	3684	83700	109890	123734	-	UNQ859/PRO1868	ITGAM	JAM3	CD11B|CR3A|MAC-1|MAC1A|MO1A|SLEB6	JAM-2|JAM-3|JAM-C|JAMC	Reconstituted Complex	physical	Santoso S (2002)	PUBMED:12208882	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P11215	-	NP_000623|NP_001139280	Q9BX67	-	NP_116190|NP_001192258	-	-	-	-	-	-	Homo sapiens	Homo sapiens
632344	5885	3684	111822	109890	-	-	RAD21	ITGAM	CDLS4|HR21|HRAD21|MCD1|NXP1|SCC1|hHR21	CD11B|CR3A|MAC-1|MAC1A|MO1A|SLEB6	Affinity Capture-Western	physical	Panigrahi AK (2011)	PUBMED:22145905	9606	9606	High Throughput	-	-	-	-	BIOGRID	O60216	A0A024R9J0	NP_006256	P11215	-	NP_000623|NP_001139280	BTO:0000873	MOLT-4 cell	cell line	DOID:5603	acute T cell leukemia	-	Homo sapiens	Homo sapiens
723163	3684	10134	109890	115437	-	-	ITGAM	BCAP31	CD11B|CR3A|MAC-1|MAC1A|MO1A|SLEB6	6C6-AG|BAP31|CDM|DDCH|DXS1357E	Affinity Capture-Western	physical	Zen K (2004)	PUBMED:15294914	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P11215	-	NP_000623|NP_001139280	P51572	-	NP_001243376|NP_005736|NP_001132929|NP_001132913	-	-	-	-	-	-	Homo sapiens	Homo sapiens
723164	10134	3684	115437	109890	-	-	BCAP31	ITGAM	6C6-AG|BAP31|CDM|DDCH|DXS1357E	CD11B|CR3A|MAC-1|MAC1A|MO1A|SLEB6	Affinity Capture-Western	physical	Zen K (2004)	PUBMED:15294914	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P51572	-	NP_001243376|NP_005736|NP_001132929|NP_001132913	P11215	-	NP_000623|NP_001139280	-	-	-	-	-	-	Homo sapiens	Homo sapiens
723165	3684	10134	109890	115437	-	-	ITGAM	BCAP31	CD11B|CR3A|MAC-1|MAC1A|MO1A|SLEB6	6C6-AG|BAP31|CDM|DDCH|DXS1357E	Reconstituted Complex	physical	Zen K (2004)	PUBMED:15294914	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P11215	-	NP_000623|NP_001139280	P51572	-	NP_001243376|NP_005736|NP_001132929|NP_001132913	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1029009	3684	81858	109890	123608	-	PSEC0216	ITGAM	SHARPIN	CD11B|CR3A|MAC-1|MAC1A|MO1A|SLEB6	SIPL1	Protein-peptide	physical	Pouwels J (2013)	PUBMED:24210817	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P11215	-	NP_000623|NP_001139280	Q9H0F6	Q6PJD5	NP_112236	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1033149	10134	3684	115437	109890	-	-	BCAP31	ITGAM	6C6-AG|BAP31|CDM|DDCH|DXS1357E	CD11B|CR3A|MAC-1|MAC1A|MO1A|SLEB6	Co-fractionation	physical	Zen K (2004)	PUBMED:15294914	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P51572	-	NP_001243376|NP_005736|NP_001132929|NP_001132913	P11215	-	NP_000623|NP_001139280	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2381816	4000	3684	110186	109890	RP11-54H19.1	-	LMNA	ITGAM	CDCD1|CDDC|CMD1A|CMT2B1|EMD2|FPL|FPLD|FPLD2|HGPS|IDC|LDP1|LFP|LGMD1B|LMN1|LMNC|LMNL1|PRO1	CD11B|CR3A|MAC-1|MAC1A|MO1A|SLEB6	Two-hybrid	physical	Dittmer TA (2014)	PUBMED:24623722	9606	9606	High Throughput	-	-	-	-	BIOGRID	P02545	Q5TCI8	NP_001244303|NP_005563|NP_733821|NP_733822|NP_001269553|NP_001269555|NP_001269554	P11215	-	NP_000623|NP_001139280	-	-	-	-	-	-	Homo sapiens	Homo sapiens
